ZIPCODE,MONTH,YEAR,CUSTOMERCLASS,COMBINED,TOTALCUSTOMERS,TOTALTHM,AVERAGETHM
93640,1,2017,Gas- Commercial,Y,0,0,NA
93640,2,2017,Gas- Commercial,Y,0,0,NA
93640,3,2017,Gas- Commercial,Y,0,0,NA
93650,1,2017,Gas- Commercial,Y,0,0,NA
93650,2,2017,Gas- Commercial,N,125,23598,189
93650,3,2017,Gas- Commercial,N,125,19287,154
93657,1,2017,Gas- Commercial,N,322,94925,295
93657,2,2017,Gas- Commercial,N,323,68451,212
93657,3,2017,Gas- Commercial,N,321,58444,182
93660,1,2017,Gas- Commercial,Y,0,0,NA
93660,2,2017,Gas- Commercial,Y,0,0,NA
93660,3,2017,Gas- Commercial,Y,0,0,NA
93662,1,2017,Gas- Commercial,Y,784,404120,515
93662,2,2017,Gas- Commercial,Y,785,268465,342
93662,3,2017,Gas- Commercial,Y,785,230222,293
93668,1,2017,Gas- Commercial,Y,0,0,NA
93668,2,2017,Gas- Commercial,Y,0,0,NA
93668,3,2017,Gas- Commercial,Y,0,0,NA
93701,1,2017,Gas- Commercial,Y,0,0,NA
93701,2,2017,Gas- Commercial,Y,0,0,NA
93701,3,2017,Gas- Commercial,Y,0,0,NA
93702,1,2017,Gas- Commercial,N,412,110241,268
93702,2,2017,Gas- Commercial,N,407,72027,177
93702,3,2017,Gas- Commercial,N,410,59762,146
93703,1,2017,Gas- Commercial,N,544,133298,245
93703,2,2017,Gas- Commercial,N,548,99749,182
93703,3,2017,Gas- Commercial,N,547,80308,147
93704,1,2017,Gas- Commercial,Y,0,0,NA
93704,2,2017,Gas- Commercial,Y,0,0,NA
93704,3,2017,Gas- Commercial,Y,0,0,NA
93705,1,2017,Gas- Commercial,Y,0,0,NA
93705,2,2017,Gas- Commercial,Y,0,0,NA
93705,3,2017,Gas- Commercial,Y,0,0,NA
93706,1,2017,Gas- Commercial,N,573,362718,633
93706,2,2017,Gas- Commercial,Y,815,296131,363
93706,3,2017,Gas- Commercial,Y,814,254664,313
93710,1,2017,Gas- Commercial,Y,879,335975,382
93710,2,2017,Gas- Commercial,Y,875,215909,247
93710,3,2017,Gas- Commercial,Y,874,183594,210
93711,1,2017,Gas- Commercial,Y,1292,337052,261
93711,2,2017,Gas- Commercial,N,1163,185704,160
93711,3,2017,Gas- Commercial,Y,1164,155550,134
93720,1,2017,Gas- Commercial,Y,1042,394381,378
93720,2,2017,Gas- Commercial,Y,1046,271502,260
93720,3,2017,Gas- Commercial,Y,1045,244344,234
93721,1,2017,Gas- Commercial,Y,734,364143,496
93721,2,2017,Gas- Commercial,Y,734,245397,334
93721,3,2017,Gas- Commercial,Y,738,206240,279
93722,1,2017,Gas- Commercial,Y,853,263491,309
93722,2,2017,Gas- Commercial,N,849,175715,207
93722,3,2017,Gas- Commercial,N,848,146551,173
93723,1,2017,Gas- Commercial,Y,0,0,NA
93723,2,2017,Gas- Commercial,Y,0,0,NA
93723,3,2017,Gas- Commercial,Y,0,0,NA
93725,1,2017,Gas- Commercial,Y,0,0,NA
93725,2,2017,Gas- Commercial,Y,0,0,NA
93725,3,2017,Gas- Commercial,Y,0,0,NA
93726,1,2017,Gas- Commercial,Y,1226,486827,397
93726,2,2017,Gas- Commercial,Y,1228,314743,256
93726,3,2017,Gas- Commercial,Y,1226,260610,213
93727,1,2017,Gas- Commercial,N,1011,353392,350
93727,2,2017,Gas- Commercial,N,1012,214668,212
93727,3,2017,Gas- Commercial,N,1008,166156,165
93728,1,2017,Gas- Commercial,Y,398,90228,227
93728,2,2017,Gas- Commercial,Y,397,62189,157
93728,3,2017,Gas- Commercial,Y,392,53477,136
93730,1,2017,Gas- Commercial,Y,0,0,NA
93730,2,2017,Gas- Commercial,Y,0,0,NA
93730,3,2017,Gas- Commercial,Y,0,0,NA
93740,1,2017,Gas- Commercial,Y,0,0,NA
93740,2,2017,Gas- Commercial,Y,0,0,NA
93740,3,2017,Gas- Commercial,Y,0,0,NA
93741,1,2017,Gas- Commercial,Y,0,0,NA
93741,2,2017,Gas- Commercial,Y,0,0,NA
93741,3,2017,Gas- Commercial,Y,0,0,NA
93901,1,2017,Gas- Commercial,Y,1153,354811,308
93901,2,2017,Gas- Commercial,Y,1154,240712,209
93901,3,2017,Gas- Commercial,Y,1155,227911,197
93905,1,2017,Gas- Commercial,N,363,117700,324
93905,2,2017,Gas- Commercial,N,363,89549,247
93905,3,2017,Gas- Commercial,N,363,89716,247
93906,1,2017,Gas- Commercial,N,371,142880,385
93906,2,2017,Gas- Commercial,N,371,105867,285
93906,3,2017,Gas- Commercial,N,371,106658,287
93907,1,2017,Gas- Commercial,Y,507,206482,407
93907,2,2017,Gas- Commercial,Y,0,0,NA
93907,3,2017,Gas- Commercial,Y,0,0,NA
93908,1,2017,Gas- Commercial,Y,0,0,NA
93908,2,2017,Gas- Commercial,Y,0,0,NA
93908,3,2017,Gas- Commercial,Y,0,0,NA
93921,1,2017,Gas- Commercial,N,164,56888,347
93921,2,2017,Gas- Commercial,N,164,46437,283
93921,3,2017,Gas- Commercial,N,164,45944,280
93923,1,2017,Gas- Commercial,Y,427,153769,360
93923,2,2017,Gas- Commercial,Y,425,123731,291
93923,3,2017,Gas- Commercial,Y,0,0,NA
93924,1,2017,Gas- Commercial,Y,0,0,NA
93924,2,2017,Gas- Commercial,Y,0,0,NA
93924,3,2017,Gas- Commercial,Y,0,0,NA
93925,1,2017,Gas- Commercial,Y,25,3130,125
93925,2,2017,Gas- Commercial,Y,0,0,NA
93925,3,2017,Gas- Commercial,Y,0,0,NA
93926,1,2017,Gas- Commercial,Y,0,0,NA
93926,2,2017,Gas- Commercial,Y,93,10969,118
93926,3,2017,Gas- Commercial,Y,93,11661,125
93927,1,2017,Gas- Commercial,Y,0,0,NA
93927,2,2017,Gas- Commercial,Y,0,0,NA
93927,3,2017,Gas- Commercial,Y,0,0,NA
93930,1,2017,Gas- Commercial,Y,539,206855,384
93930,2,2017,Gas- Commercial,Y,691,182916,265
93930,3,2017,Gas- Commercial,Y,692,174197,252
93933,1,2017,Gas- Commercial,N,285,79814,280
93933,2,2017,Gas- Commercial,N,287,57597,201
93933,3,2017,Gas- Commercial,N,288,58088,202
93940,1,2017,Gas- Commercial,Y,1343,804985,599
93940,2,2017,Gas- Commercial,Y,1813,715926,395
93940,3,2017,Gas- Commercial,Y,1768,736564,417
93950,1,2017,Gas- Commercial,Y,0,0,NA
93950,2,2017,Gas- Commercial,Y,0,0,NA
93950,3,2017,Gas- Commercial,Y,0,0,NA
93953,1,2017,Gas- Commercial,Y,0,0,NA
93953,2,2017,Gas- Commercial,Y,0,0,NA
93953,3,2017,Gas- Commercial,Y,0,0,NA
93955,1,2017,Gas- Commercial,N,469,156179,333
93955,2,2017,Gas- Commercial,Y,0,0,NA
93955,3,2017,Gas- Commercial,N,466,106043,228
93960,1,2017,Gas- Commercial,Y,232,53518,231
93960,2,2017,Gas- Commercial,Y,0,0,NA
93960,3,2017,Gas- Commercial,Y,0,0,NA
94002,1,2017,Gas- Commercial,Y,0,0,NA
94002,2,2017,Gas- Commercial,N,445,107312,241
94002,3,2017,Gas- Commercial,N,444,102229,230
94005,1,2017,Gas- Commercial,N,140,104678,748
94005,2,2017,Gas- Commercial,N,140,77914,557
94005,3,2017,Gas- Commercial,N,141,71417,507
94010,1,2017,Gas- Commercial,Y,0,0,NA
94010,2,2017,Gas- Commercial,N,810,391868,484
94010,3,2017,Gas- Commercial,N,809,375962,465
94014,1,2017,Gas- Commercial,N,399,176022,441
94014,2,2017,Gas- Commercial,N,399,129068,323
94014,3,2017,Gas- Commercial,N,400,126345,316
94015,1,2017,Gas- Commercial,N,265,244226,922
94015,2,2017,Gas- Commercial,N,265,192508,726
94015,3,2017,Gas- Commercial,N,263,199638,759
94019,1,2017,Gas- Commercial,Y,0,0,NA
94019,2,2017,Gas- Commercial,N,222,66095,298
94019,3,2017,Gas- Commercial,N,222,65003,293
94022,1,2017,Gas- Commercial,Y,0,0,NA
94022,2,2017,Gas- Commercial,Y,384,126326,329
94022,3,2017,Gas- Commercial,Y,382,114210,299
94024,1,2017,Gas- Commercial,Y,0,0,NA
94024,2,2017,Gas- Commercial,Y,0,0,NA
94024,3,2017,Gas- Commercial,Y,0,0,NA
94025,1,2017,Gas- Commercial,Y,0,0,NA
94025,2,2017,Gas- Commercial,Y,721,504993,700
94025,3,2017,Gas- Commercial,Y,720,469602,652
94027,1,2017,Gas- Commercial,Y,0,0,NA
94027,2,2017,Gas- Commercial,Y,0,0,NA
94027,3,2017,Gas- Commercial,Y,0,0,NA
94028,1,2017,Gas- Commercial,Y,0,0,NA
94028,2,2017,Gas- Commercial,Y,0,0,NA
94028,3,2017,Gas- Commercial,Y,0,0,NA
94030,1,2017,Gas- Commercial,Y,0,0,NA
94030,2,2017,Gas- Commercial,Y,273,162210,594
94030,3,2017,Gas- Commercial,Y,275,168482,613
94038,1,2017,Gas- Commercial,Y,0,0,NA
94038,2,2017,Gas- Commercial,Y,0,0,NA
94038,3,2017,Gas- Commercial,Y,0,0,NA
94040,1,2017,Gas- Commercial,Y,0,0,NA
94040,2,2017,Gas- Commercial,Y,0,0,NA
94040,3,2017,Gas- Commercial,Y,0,0,NA
94041,1,2017,Gas- Commercial,Y,0,0,NA
94041,2,2017,Gas- Commercial,Y,0,0,NA
94041,3,2017,Gas- Commercial,Y,0,0,NA
94043,1,2017,Gas- Commercial,Y,2045,1832922,896
94043,2,2017,Gas- Commercial,Y,2040,1285201,630
94043,3,2017,Gas- Commercial,Y,2037,1211001,595
94044,1,2017,Gas- Commercial,Y,298,99439,334
94044,2,2017,Gas- Commercial,Y,296,77139,261
94044,3,2017,Gas- Commercial,Y,297,75381,254
94061,1,2017,Gas- Commercial,Y,0,0,NA
94061,2,2017,Gas- Commercial,Y,398,135280,340
94061,3,2017,Gas- Commercial,Y,396,124633,315
94062,1,2017,Gas- Commercial,Y,0,0,NA
94062,2,2017,Gas- Commercial,Y,0,0,NA
94062,3,2017,Gas- Commercial,Y,0,0,NA
94063,1,2017,Gas- Commercial,Y,0,0,NA
94063,2,2017,Gas- Commercial,N,1045,373095,357
94063,3,2017,Gas- Commercial,N,1043,350128,336
94065,1,2017,Gas- Commercial,Y,0,0,NA
94065,2,2017,Gas- Commercial,Y,0,0,NA
94065,3,2017,Gas- Commercial,Y,0,0,NA
94066,1,2017,Gas- Commercial,Y,0,0,NA
94066,2,2017,Gas- Commercial,Y,0,0,NA
94066,3,2017,Gas- Commercial,Y,0,0,NA
94070,1,2017,Gas- Commercial,Y,0,0,NA
94070,2,2017,Gas- Commercial,N,1002,233690,233
94070,3,2017,Gas- Commercial,N,999,213740,214
94080,1,2017,Gas- Commercial,Y,9522,7177519,754
94080,2,2017,Gas- Commercial,Y,1480,1162404,785
94080,3,2017,Gas- Commercial,Y,1483,1153290,778
94085,1,2017,Gas- Commercial,Y,0,0,NA
94085,2,2017,Gas- Commercial,Y,0,0,NA
94085,3,2017,Gas- Commercial,Y,0,0,NA
94086,1,2017,Gas- Commercial,N,368,257176,699
94086,2,2017,Gas- Commercial,N,368,177865,483
94086,3,2017,Gas- Commercial,N,366,155005,424
94087,1,2017,Gas- Commercial,Y,0,0,NA
94087,2,2017,Gas- Commercial,Y,0,0,NA
94087,3,2017,Gas- Commercial,Y,0,0,NA
94089,1,2017,Gas- Commercial,Y,0,0,NA
94089,2,2017,Gas- Commercial,Y,0,0,NA
94089,3,2017,Gas- Commercial,Y,0,0,NA
94102,1,2017,Gas- Commercial,N,434,357949,825
94102,2,2017,Gas- Commercial,N,432,277377,642
94102,3,2017,Gas- Commercial,N,432,280926,650
94103,1,2017,Gas- Commercial,N,1088,534344,491
94103,2,2017,Gas- Commercial,N,1087,395110,363
94103,3,2017,Gas- Commercial,N,1084,387419,357
94104,1,2017,Gas- Commercial,Y,0,0,NA
94104,2,2017,Gas- Commercial,Y,0,0,NA
94104,3,2017,Gas- Commercial,N,56,54026,965
94105,1,2017,Gas- Commercial,N,171,328087,1919
94105,2,2017,Gas- Commercial,N,169,248262,1469
94105,3,2017,Gas- Commercial,N,170,230444,1356
94107,1,2017,Gas- Commercial,Y,781,547482,701
94107,2,2017,Gas- Commercial,Y,775,417571,539
94107,3,2017,Gas- Commercial,Y,775,402896,520
94108,1,2017,Gas- Commercial,Y,494,291730,591
94108,2,2017,Gas- Commercial,Y,495,216710,438
94108,3,2017,Gas- Commercial,N,439,159455,363
94109,1,2017,Gas- Commercial,N,665,422576,635
94109,2,2017,Gas- Commercial,N,662,302657,457
94109,3,2017,Gas- Commercial,N,662,294854,445
94110,1,2017,Gas- Commercial,Y,1530,476255,311
94110,2,2017,Gas- Commercial,N,1010,258350,256
94110,3,2017,Gas- Commercial,N,1012,246717,244
94111,1,2017,Gas- Commercial,N,250,388236,1553
94111,2,2017,Gas- Commercial,N,252,284337,1128
94111,3,2017,Gas- Commercial,N,251,293377,1169
94112,1,2017,Gas- Commercial,Y,670,270918,404
94112,2,2017,Gas- Commercial,Y,669,215509,322
94112,3,2017,Gas- Commercial,Y,670,212674,317
94114,1,2017,Gas- Commercial,Y,0,0,NA
94114,2,2017,Gas- Commercial,Y,892,225030,252
94114,3,2017,Gas- Commercial,Y,894,224693,251
94115,1,2017,Gas- Commercial,Y,0,0,NA
94115,2,2017,Gas- Commercial,N,457,181447,397
94115,3,2017,Gas- Commercial,N,459,172971,377
94116,1,2017,Gas- Commercial,Y,407,163063,401
94116,2,2017,Gas- Commercial,Y,409,130232,318
